model_alias,model_id,experiment_id,run_id,task_direction,corpus_config,doc_template,query_instruction_variant_original,query_instruction_group,query_instruction_text,doc_prefix,summary_generator,summary_model_id,summary_prompt_variant,eval_n,old_mrr_at_10,old_r_at_1,old_r_at_5,old_r_at_10,artifact_available,artifact_depth,can_recalculate_from_artifact,needs_model_rerun,notes,source_file
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__thinking_direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,thinking_direct_moral,709,0.251252,0.162200,0.337094,0.416079,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__conceptual_abstract__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,conceptual_abstract,709,0.207233,0.124118,0.272214,0.377997,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,cot_proverb,709,0.192102,0.110014,0.255289,0.355430,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,direct_moral,709,0.221206,0.139633,0.284908,0.383639,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,proverb,709,0.218781,0.135402,0.291961,0.379408,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__thinking_cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,thinking_cot_proverb,709,0.233360,0.150917,0.310296,0.393512,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__thinking_direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,thinking_direct_moral,709,0.213416,0.128350,0.282087,0.375176,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__conceptual_abstract__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,conceptual_abstract,709,0.232619,0.133992,0.335684,0.420310,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,cot_proverb,709,0.222409,0.139633,0.293371,0.387870,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,direct_moral,709,0.233525,0.139633,0.315938,0.418900,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,proverb,709,0.215549,0.125529,0.299013,0.387870,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__thinking_cot_proverb__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,thinking_cot_proverb,709,0.215801,0.122708,0.314528,0.376587,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__thinking_direct_moral__fable_summary,moral_to_fable,fable_summary,{fable}\n\nMoral summary: {generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,thinking_direct_moral,709,0.250208,0.157969,0.354020,0.424542,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__conceptual_abstract__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,conceptual_abstract,709,0.354532,0.263752,0.452750,0.554302,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,cot_proverb,709,0.303064,0.210155,0.400564,0.489422,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,direct_moral,709,0.332607,0.224260,0.437236,0.552891,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemini__proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemini,,proverb,709,0.281152,0.186178,0.383639,0.456982,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__conceptual_abstract__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,conceptual_abstract,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,cot_proverb,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,direct_moral,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,proverb,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__thinking_cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,thinking_cot_proverb,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-26B-A4B__thinking_direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-26B-A4B,,thinking_direct_moral,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__conceptual_abstract__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,conceptual_abstract,709,0.261908,0.174894,0.351199,0.427362,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,cot_proverb,709,0.185207,0.112835,0.249647,0.325811,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,direct_moral,709,0.267324,0.190409,0.335684,0.421721,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,proverb,709,0.172867,0.098731,0.246827,0.310296,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__thinking_cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,thinking_cot_proverb,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-31B__thinking_direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-31B,,thinking_direct_moral,709,0.009844,0.001410,0.005642,0.014104,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__conceptual_abstract__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,conceptual_abstract,709,0.118412,0.059238,0.172073,0.232722,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,cot_proverb,709,0.123459,0.063470,0.170663,0.231312,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,direct_moral,709,0.141121,0.078984,0.198872,0.265162,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,proverb,709,0.110887,0.056417,0.155148,0.208745,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__thinking_cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,thinking_cot_proverb,709,0.185218,0.108604,0.253879,0.341326,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E2B__thinking_direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E2B,,thinking_direct_moral,709,0.170437,0.100141,0.229901,0.301834,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__conceptual_abstract__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,conceptual_abstract,709,0.190219,0.107193,0.275035,0.351199,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,cot_proverb,709,0.182697,0.105783,0.239774,0.331453,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,direct_moral,709,0.166817,0.101551,0.224260,0.308886,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,proverb,709,0.122589,0.080395,0.150917,0.214386,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__thinking_cot_proverb__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,thinking_cot_proverb,709,0.177153,0.112835,0.235543,0.299013,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,exp_13,Linq-Embed-Mistral__gemma4-E4B__thinking_direct_moral__summary_only,moral_to_fable,summary_only,{generated_summary},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,gemma4-E4B,,thinking_direct_moral,709,0.230557,0.150917,0.311707,0.389281,aggregate_only_generated_summaries_not_local,,no,eval_only_or_pull_summaries,,experiments/13_gemma4_gpu_summarization/results/2026-05-06_11-54-49_eval_all.csv
Llama-Embed-Nemotron-8B,nvidia/llama-embed-nemotron-8b,exp_11,Llama-Embed-Nemotron-8B,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},default,model_default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.\nQuery: ",,Gemini/Gemma summary field,,existing_summary_field,709,0.055116,0.026798,0.062059,0.094499,aggregate_only,,no,yes,Fable+summary zero-shot embedding baseline.,experiments/11_embedding_baselines/results/2026-04-27_14-49-59_EmbeddingGemma-300M_Llama-Embed-Nemotron-8B.json
Llama-Embed-Nemotron-8B-NoInstr,nvidia/llama-embed-nemotron-8b,exp_11,Llama-Embed-Nemotron-8B-NoInstr,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},no_instr,no_instr,,,Gemini/Gemma summary field,,existing_summary_field,709,0.086049,0.049365,0.107193,0.150917,aggregate_only,,no,yes,Fable+summary zero-shot embedding baseline.,experiments/11_embedding_baselines/results/2026-04-27_15-00-41_Llama-Embed-Nemotron-8B-NoInstr.json
lychee,vec-ai/lychee-embed,exp_02,lychee__general,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery:",,,,,709,0.100587,0.057828,0.125529,0.173484,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
lychee,vec-ai/lychee-embed,exp_02,lychee__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.099674,0.059238,0.122708,0.160790,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
lychee,vec-ai/lychee-embed,exp_02,lychee__specific,moral_to_fable,raw,{fable},specific,specific,"Instruct: Given a moral principle or lesson, retrieve the fable that illustrates it\nQuery:",,,,,709,0.068538,0.031030,0.093089,0.129760,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
multilingual-e5,intfloat/multilingual-e5-large,exp_02,multilingual-e5__plain,moral_to_fable,raw,{fable},plain,plain_or_model_native,query: ,passage: ,,,,709,0.094876,0.056417,0.124118,0.152327,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
multilingual-e5-instruct,intfloat/multilingual-e5-large-instruct,exp_02,multilingual-e5-instruct__general,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.088898,0.040903,0.122708,0.170663,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
multilingual-e5-instruct,intfloat/multilingual-e5-large-instruct,exp_02,multilingual-e5-instruct__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.079227,0.038082,0.105783,0.153738,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
multilingual-e5-instruct,intfloat/multilingual-e5-large-instruct,exp_02,multilingual-e5-instruct__specific,moral_to_fable,raw,{fable},specific,specific,"Instruct: Given a moral principle or lesson, retrieve the fable that illustrates it\nQuery: ",,,,,709,0.093780,0.050776,0.126939,0.172073,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
multilingual-e5-large,intfloat/multilingual-e5-large,exp_01,multilingual-e5-large__default__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},default,model_default,model default instruction/prefix,,,,,709,0.033400,0.012700,0.043700,0.063500,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
multilingual-e5-large,intfloat/multilingual-e5-large,exp_01,multilingual-e5-large__default__moral->fable_(clean),moral->fable (clean),raw,{fable},default,model_default,model default instruction/prefix,,,,,709,0.094900,0.056400,0.124100,0.152300,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
multilingual-e5-large,intfloat/multilingual-e5-large,exp_01,multilingual-e5-large__default__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},default,model_default,model default instruction/prefix,,,,,709,0.070900,0.024000,0.101600,0.159400,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
Multilingual-E5-large,intfloat/multilingual-e5-large,exp_12,Multilingual-E5-large__fable_abstract__default,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},default,model_default,query: ,passage: ,Gemini,,conceptual_abstract,709,0.229506,0.149506,0.313117,0.372355,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Multilingual-E5-large,intfloat/multilingual-e5-large,exp_12,Multilingual-E5-large__fable_abstract__generic,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,conceptual_abstract,709,0.218152,0.149506,0.282087,0.344147,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Multilingual-E5-large,intfloat/multilingual-e5-large,exp_12,Multilingual-E5-large__fable_cot__default,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},default,model_default,query: ,passage: ,Gemini,,cot_proverb,709,0.214650,0.141044,0.291961,0.362482,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Multilingual-E5-large,intfloat/multilingual-e5-large,exp_12,Multilingual-E5-large__fable_cot__generic,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,cot_proverb,709,0.201914,0.135402,0.262341,0.332863,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
Multilingual-E5-large,intfloat/multilingual-e5-large,exp_12,Multilingual-E5-large__fable_direct__default,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},default,model_default,query: ,passage: ,Gemini,,direct_moral,709,0.222608,0.145275,0.291961,0.362482,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
